negative talks,positive talks,Negative length,Vote(Yes/No)
0,1,0,0
0,0,0,0
0,0,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,0,27,0
1,0,27,0
0,0,0,0
0,3,0,0
0,3,0,0
1,0,14,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,0,0,1
0,1,0,0
1,4,14,1
0,0,0,0
0,0,0,0
2,1,54,0
0,1,0,0
0,1,0,0
0,1,0,0
1,0,27,0
3,0,68,1
1,0,27,0
0,0,0,0
4,2,82,1
4,2,82,1
1,0,27,0
0,3,0,0
0,1,0,0
1,1,14,0
1,1,14,0
2,0,28,1
2,0,28,1
0,1,0,0
0,0,0,0
0,0,0,0
4,0,95,1
4,0,95,1
0,2,0,0
0,3,0,0
0,0,0,0
0,0,0,0
1,2,14,1
2,0,41,1
4,0,96,1
0,0,0,0
3,1,68,0
3,1,68,1
1,0,14,0
0,0,0,0
1,2,14,1
0,2,0,0
0,0,0,0
2,0,41,0
2,0,41,0
0,1,0,0
0,1,0,0
1,0,14,1
4,0,94,1
0,0,0,0
0,1,0,0
0,1,0,0
2,0,41,0
2,0,41,0
0,0,0,0
1,0,27,0
1,0,14,0
1,0,14,0
0,0,0,0
0,0,0,0
0,3,0,0
0,1,0,0
0,0,0,0
0,0,0,0
0,1,0,0
0,0,0,0
1,0,27,0
4,1,95,1
4,1,95,1
0,3,0,0
0,3,0,0
1,0,27,0
0,0,0,0
0,0,0,0
0,1,0,0
0,0,0,0
0,2,0,0
2,0,40,1
0,1,0,0
2,1,42,1
0,0,0,0
0,0,0,0
0,2,0,0
0,2,0,0
0,0,0,0
0,2,0,0
0,2,0,0
0,1,0,0
1,2,14,1
0,0,0,0
0,0,0,0
2,0,40,0
0,1,0,0
0,0,0,0
1,0,27,0
0,2,0,0
0,2,0,0
0,0,0,0
1,1,14,0
2,1,28,1
1,1,14,1
3,0,67,1
3,0,81,0
0,1,0,0
0,1,0,0
0,0,0,0
0,1,0,0
3,0,68,1
1,0,27,0
1,0,27,0
1,0,27,0
3,0,68,1
0,1,0,0
0,0,0,0
3,0,81,0
0,0,0,0
2,0,53,0
0,4,0,0
1,0,14,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,3,0,0
0,3,0,0
0,2,0,0
0,2,0,0
0,1,0,0
0,1,0,0
2,1,41,1
0,3,0,0
1,0,27,0
3,0,67,1
0,1,0,0
1,0,27,0
2,0,28,1
2,0,28,1
0,0,0,0
0,4,0,0
0,0,0,0
0,1,0,0
0,1,0,0
0,2,0,0
2,0,41,0
0,1,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,0
0,1,0,0
2,0,28,1
2,0,28,0
1,1,27,0
0,0,0,0
0,0,0,0
0,1,0,0
1,3,27,0
0,1,0,0
1,0,14,0
1,1,27,0
0,0,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,2,0,0
3,0,55,0
1,1,27,0
4,0,95,1
0,0,0,0
0,0,0,0
1,1,14,0
1,1,27,0
0,1,0,0
0,1,0,0
1,0,27,0
1,1,27,0
0,0,0,0
0,0,0,0
1,2,27,0
0,2,0,0
1,0,14,1
2,0,54,0
2,0,41,0
0,0,0,0
1,0,14,0
